code,name,market,sector33,sector17,size_category
1301.T,極洋,東証プライム,水産・農林業,食品,TOPIX Small 1
130A.T,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,東証グロース,医薬品,医薬品,-
1332.T,ニッスイ,東証プライム,水産・農林業,食品,TOPIX Mid400
1333.T,Ｕｍｉｏｓ,東証プライム,水産・農林業,食品,TOPIX Mid400
135A.T,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,東証グロース,情報・通信業,情報通信・サービスその他,-
1375.T,ユキグニファクトリー,東証プライム,水産・農林業,食品,TOPIX Small 2
1376.T,カネコ種苗,東証スタンダード,水産・農林業,食品,TOPIX Small 2
1377.T,サカタのタネ,東証プライム,水産・農林業,食品,TOPIX Small 1
1379.T,ホクト,東証プライム,水産・農林業,食品,TOPIX Small 2
137A.T,Ｃｏｃｏｌｉｖｅ,東証グロース,情報・通信業,情報通信・サービスその他,-
1380.T,秋川牧園,東証スタンダード,水産・農林業,食品,-
1381.T,アクシーズ,東証スタンダード,水産・農林業,食品,-
1382.T,ホーブ,東証スタンダード,水産・農林業,食品,-
1383.T,ベルグアース,東証スタンダード,水産・農林業,食品,-
1384.T,ホクリヨウ,東証スタンダード,水産・農林業,食品,-
138A.T,光フードサービス,東証グロース,小売業,小売,-
1401.T,エムビーエス,東証グロース,建設業,建設・資材,-
1407.T,ウエストホールディングス,東証スタンダード,建設業,建設・資材,-
1414.T,ショーボンドホールディングス,東証プライム,建設業,建設・資材,TOPIX Mid400
1417.T,ミライト・ワン,東証プライム,建設業,建設・資材,TOPIX Mid400
1418.T,インターライフホールディングス,東証スタンダード,建設業,建設・資材,-
1419.T,タマホーム,東証プライム,建設業,建設・資材,TOPIX Small 1
141A.T,トライアルホールディングス,東証グロース,小売業,小売,-
1420.T,サンヨーホームズ,東証スタンダード,建設業,建設・資材,-
1429.T,日本アクア,東証プライム,建設業,建設・資材,-
142A.T,ジンジブ,東証グロース,サービス業,情報通信・サービスその他,-
1430.T,ファーストコーポレーション,東証スタンダード,建設業,建設・資材,-
1431.T,Ｌｉｂ　Ｗｏｒｋ,東証グロース,建設業,建設・資材,-
1433.T,ベステラ,東証プライム,建設業,建設・資材,-
1434.T,ＪＥＳＣＯホールディングス,東証スタンダード,建設業,建設・資材,-
1435.T,ｒｏｂｏｔ　ｈｏｍｅ,東証スタンダード,不動産業,不動産,TOPIX Small 2
1436.T,グリーンエナジー＆カンパニー,東証グロース,建設業,建設・資材,-
1438.T,岐阜造園,東証スタンダード,建設業,建設・資材,-
143A.T,イシン,東証グロース,サービス業,情報通信・サービスその他,-
1443.T,技研ホールディングス,東証スタンダード,建設業,建設・資材,-
1444.T,ニッソウ,東証グロース,建設業,建設・資材,-
1446.T,キャンディル,東証スタンダード,建設業,建設・資材,-
1447.T,ＳＡＡＦホールディングス,東証グロース,建設業,建設・資材,-
1450.T,ＴＡＮＡＫＥＮ,東証スタンダード,建設業,建設・資材,-
145A.T,Ｌ　ｉｓ　Ｂ,東証グロース,情報・通信業,情報通信・サービスその他,-
146A.T,コロンビア・ワークス,東証スタンダード,不動産業,不動産,-
147A.T,ソラコム,東証グロース,情報・通信業,情報通信・サービスその他,-
148A.T,ハッチ・ワーク,東証グロース,情報・通信業,情報通信・サービスその他,-
1491.T,中外鉱業,東証スタンダード,非鉄金属,鉄鋼・非鉄,-
149A.T,シンカ,東証グロース,情報・通信業,情報通信・サービスその他,-
150A.T,ＪＳＨ,東証グロース,サービス業,情報通信・サービスその他,-
1514.T,住石ホールディングス,東証スタンダード,鉱業,エネルギー資源,TOPIX Small 2
1515.T,日鉄鉱業,東証プライム,鉱業,エネルギー資源,TOPIX Small 1
1518.T,三井松島ホールディングス,東証プライム,その他製品,情報通信・サービスその他,TOPIX Small 1
151A.T,ダイブ,東証グロース,サービス業,情報通信・サービスその他,-
153A.T,カウリス,東証グロース,情報・通信業,情報通信・サービスその他,-
155A.T,情報戦略テクノロジー,東証グロース,情報・通信業,情報通信・サービスその他,-
156A.T,マテリアルグループ,東証グロース,サービス業,情報通信・サービスその他,-
157A.T,グリーンモンスター,東証グロース,サービス業,情報通信・サービスその他,-
1605.T,ＩＮＰＥＸ,東証プライム,鉱業,エネルギー資源,TOPIX Mid400
160A.T,アズパートナーズ,東証スタンダード,サービス業,情報通信・サービスその他,-
1662.T,石油資源開発,東証プライム,鉱業,エネルギー資源,TOPIX Small 1
1663.T,Ｋ＆Ｏエナジーグループ,東証プライム,鉱業,エネルギー資源,TOPIX Small 1
166A.T,タスキホールディングス,東証グロース,不動産業,不動産,-
167A.T,リョーサン菱洋ホールディングス,東証プライム,卸売業,商社・卸売,TOPIX Small 1
168A.T,イタミアート,東証グロース,その他製品,情報通信・サービスその他,-
1711.T,ＳＤＳホールディングス,東証スタンダード,建設業,建設・資材,-
1716.T,第一カッター興業,東証スタンダード,建設業,建設・資材,TOPIX Small 2
1717.T,明豊ファシリティワークス,東証スタンダード,サービス業,情報通信・サービスその他,-
1718.T,美樹工業,東証スタンダード,建設業,建設・資材,-
1719.T,安藤・間,東証プライム,建設業,建設・資材,TOPIX Mid400
1720.T,東急建設,東証プライム,建設業,建設・資材,TOPIX Small 1
1721.T,コムシスホールディングス,東証プライム,建設業,建設・資材,TOPIX Mid400
1723.T,日本電技,東証スタンダード,建設業,建設・資材,-
1724.T,シンクレイヤ,東証スタンダード,建設業,建設・資材,-
1726.T,ビーアールホールディングス,東証プライム,建設業,建設・資材,-
1736.T,オーテック,東証スタンダード,建設業,建設・資材,-
173A.T,ハンモック,東証グロース,情報・通信業,情報通信・サービスその他,-
1758.T,太洋基礎工業,東証スタンダード,建設業,建設・資材,-
175A.T,Ｗｉｌｌ　Ｓｍａｒｔ,東証グロース,情報・通信業,情報通信・サービスその他,-
1762.T,高松コンストラクショングループ,東証プライム,建設業,建設・資材,TOPIX Small 2
1764.T,工藤建設,東証スタンダード,建設業,建設・資材,-
1766.T,東建コーポレーション,東証プライム,建設業,建設・資材,TOPIX Small 1
1768.T,ソネック,東証スタンダード,建設業,建設・資材,-
1770.T,藤田エンジニアリング,東証スタンダード,建設業,建設・資材,-
1773.T,ワイ・ティー・エル・コーポレーション・バーハッド,東証プライム,建設業,建設・資材,-
177A.T,コージンバイオ,東証グロース,化学,素材・化学,-
1780.T,ヤマウラ,東証プライム,建設業,建設・資材,TOPIX Small 2
1783.T,ｆａｎｔａｓｉｓｔａ,東証スタンダード,不動産業,不動産,-
1786.T,オリエンタル白石,東証プライム,建設業,建設・資材,TOPIX Small 2
1787.T,ナカボーテック,東証スタンダード,建設業,建設・資材,-
1788.T,三東工業社,東証スタンダード,建設業,建設・資材,-
1793.T,大本組,東証スタンダード,建設業,建設・資材,-
